epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94183,2.48695,4.68659,1.55236,0.00051,0.09091,0.00042,7e-05,1.93326,4.46727,1.46183,5.716e-05,5.716e-05,5.716e-05
2,13.5054,1.83117,4.25422,1.22853,0.00188,0.31818,0.00528,0.002,1.64631,4.28246,1.18122,0.000126064,0.000126064,0.000126064
3,19.3805,1.37541,3.46797,0.96631,0.00823,0.57502,0.01147,0.0078,1.13545,3.97643,0.91299,0.000192138,0.000192138,0.000192138
4,25.3941,1.24822,2.19316,0.89346,0.01173,0.86733,0.15757,0.13059,1.05748,3.76575,0.86629,0.000255382,0.000255382,0.000255382
5,31.2301,1.13625,1.46317,0.87954,0.0128,0.96046,0.38079,0.29555,0.99628,3.38701,0.86222,0.000315798,0.000315798,0.000315798
6,36.9181,1.17786,1.31852,0.9028,0.01306,0.98374,0.61067,0.47264,1.00287,3.20462,0.8628,0.000373383,0.000373383,0.000373383
7,42.3838,1.03216,1.08634,0.87588,0.01285,0.98374,0.82948,0.62782,0.98728,3.07525,0.86485,0.00042814,0.00042814,0.00042814
8,47.7662,1.02006,0.97262,0.8838,0.01252,0.98374,0.89338,0.67788,0.95961,3.01032,0.8646,0.000480067,0.000480067,0.000480067
9,53.4243,0.90108,0.89312,0.87349,0.01242,0.98374,0.93603,0.69882,0.93845,2.91715,0.86273,0.000529164,0.000529164,0.000529164
10,58.9806,0.94879,0.87848,0.86503,0.0146,0.98374,0.9812,0.72884,0.96182,2.793,0.86984,0.000575433,0.000575433,0.000575433
11,64.6541,0.92939,0.86884,0.87201,1,0.34982,0.98187,0.7712,0.88662,2.69463,0.86116,0.000618871,0.000618871,0.000618871
12,70.3261,0.94715,0.83192,0.86362,1,0.32075,0.98193,0.7585,0.87329,2.60626,0.862,0.000659481,0.000659481,0.000659481
13,76.4836,0.87071,0.7837,0.86301,1,0.15464,0.98192,0.74825,0.86363,2.5152,0.86482,0.000697261,0.000697261,0.000697261
14,82.7451,0.91069,0.78096,0.87115,1,0.22382,0.98192,0.7724,0.85428,2.37719,0.85481,0.000732211,0.000732211,0.000732211
15,89.6586,0.85879,0.80747,0.86727,1,0.18072,0.98181,0.74435,0.91178,2.41736,0.87577,0.000764332,0.000764332,0.000764332
16,96.6829,0.85085,0.77427,0.85938,1,0.39613,0.98304,0.7402,0.91786,2.23951,0.87909,0.000793624,0.000793624,0.000793624
17,104.523,0.87554,0.77587,0.884,1,0.7873,0.98674,0.7815,0.88127,1.8782,0.86734,0.000820086,0.000820086,0.000820086
18,112.383,0.86041,0.69941,0.8614,1,0.86512,0.9929,0.77521,0.87205,1.69289,0.85971,0.000843719,0.000843719,0.000843719
19,119.325,0.88319,0.71708,0.88158,0.98926,0.88277,0.99339,0.77133,0.8977,1.53303,0.86433,0.000864522,0.000864522,0.000864522
20,126.45,0.83097,0.69873,0.85065,0.98263,0.97561,0.994,0.74344,0.99475,1.2255,0.89539,0.000882496,0.000882496,0.000882496
21,132.874,0.80049,0.67336,0.83999,0.97705,0.97227,0.99387,0.76288,0.9137,1.16771,0.8697,0.000863116,0.000863116,0.000863116
22,139.307,0.78187,0.69699,0.86626,0.97807,0.96238,0.99358,0.78526,0.84813,1.3022,0.85449,0.000834822,0.000834822,0.000834822
23,146.202,0.74887,0.69841,0.85406,0.9807,0.9635,0.99323,0.80586,0.79971,1.34427,0.84468,0.000806528,0.000806528,0.000806528
24,152.741,0.82929,0.70268,0.85984,0.99031,0.96988,0.99323,0.81694,0.79223,1.0569,0.84124,0.000778233,0.000778233,0.000778233
25,159.394,0.76213,0.65725,0.85322,0.98679,0.96748,0.99304,0.78704,0.86027,0.92939,0.85865,0.000749939,0.000749939,0.000749939
26,165.864,0.78883,0.65713,0.85021,0.98724,0.96748,0.99199,0.7608,0.8991,0.8902,0.87176,0.000721645,0.000721645,0.000721645
