epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6529,2.48695,4.68659,1.55236,0.00051,0.09091,0.00042,7e-05,1.93326,4.46727,1.46183,5.716e-05,5.716e-05,5.716e-05
2,17.2755,1.82884,4.25271,1.22749,0.00188,0.31818,0.00527,0.00201,1.65078,4.2805,1.18218,0.000127337,0.000127337,0.000127337
3,23.9868,1.37243,3.45548,0.96556,0.00835,0.58315,0.01196,0.00776,1.13885,3.98517,0.91741,0.000196099,0.000196099,0.000196099
4,30.4745,1.27013,2.14235,0.89659,0.01207,0.88359,0.20306,0.16643,1.06406,3.75502,0.86573,0.000263446,0.000263446,0.000263446
5,37.021,1.14647,1.43677,0.88213,0.01308,0.96046,0.34422,0.26424,1.01929,3.42565,0.86838,0.000329379,0.000329379,0.000329379
6,43.9052,1.19098,1.31653,0.90448,0.01319,0.97561,0.50149,0.39938,0.99739,3.27876,0.86256,0.000393897,0.000393897,0.000393897
7,51.0165,1.03683,1.07292,0.87724,0.01301,0.98374,0.71176,0.54977,0.99177,3.15578,0.87201,0.000457,0.000457,0.000457
8,58.2084,1.03788,0.98487,0.89033,0.01243,0.98374,0.85715,0.6404,0.96709,3.03026,0.87549,0.000518688,0.000518688,0.000518688
9,65.7464,0.91209,0.9073,0.8781,0.01249,0.98374,0.9182,0.66026,1.01801,2.89202,0.8984,0.000578962,0.000578962,0.000578962
10,72.9594,0.95739,0.88259,0.86844,1,0.53147,0.96868,0.70075,0.97418,2.70227,0.88448,0.000637821,0.000637821,0.000637821
11,79.9749,0.94547,0.8507,0.87528,1,0.22179,0.98188,0.73044,0.96778,2.55936,0.88776,0.000695266,0.000695266,0.000695266
12,87.0688,0.93161,0.81828,0.86391,1,0.22938,0.97273,0.74929,0.92287,2.51414,0.87449,0.000751295,0.000751295,0.000751295
13,94.6333,0.88019,0.79753,0.86782,1,0.3263,0.98162,0.75145,0.91368,2.48317,0.87204,0.00080591,0.00080591,0.00080591
14,101.761,0.89286,0.77,0.87456,1,0.29377,0.97308,0.75056,0.8787,2.28758,0.85758,0.000859111,0.000859111,0.000859111
15,109.042,0.84539,0.77834,0.86465,1,0.28225,0.97215,0.69076,1.03179,2.28088,0.91303,0.000910896,0.000910896,0.000910896
16,116.518,0.8515,0.75068,0.86339,1,0.44706,0.97415,0.69846,0.98491,2.1872,0.88907,0.000961267,0.000961267,0.000961267
17,123.439,0.87518,0.76111,0.88229,1,0.8181,0.98689,0.77693,0.88691,1.81656,0.85538,0.00101022,0.00101022,0.00101022
18,130.605,0.86803,0.6872,0.86138,0.99835,0.87898,0.99009,0.74079,1.00272,1.64657,0.88118,0.00105776,0.00105776,0.00105776
19,137.61,0.89174,0.71426,0.8829,0.99517,0.89625,0.99399,0.74283,1.00328,1.54607,0.8874,0.00110389,0.00110389,0.00110389
20,144.803,0.94181,0.71745,0.86712,0.99673,0.92074,0.99453,0.76425,0.96328,1.6535,0.88797,0.0011486,0.0011486,0.0011486
21,151.763,0.8881,0.71476,0.85607,0.99415,0.87075,0.99362,0.77236,0.91411,1.73339,0.87445,0.00114606,0.00114606,0.00114606
22,158.815,0.87668,0.73979,0.88647,0.99318,0.8707,0.99094,0.75518,0.95255,1.69912,0.88394,0.00113191,0.00113191,0.00113191
23,166.028,0.79959,0.71477,0.86481,0.97857,0.96593,0.98969,0.78431,0.88207,1.48759,0.86797,0.00111776,0.00111776,0.00111776
24,172.994,0.83827,0.68573,0.86862,0.96285,0.99187,0.99384,0.79904,0.81322,0.94631,0.84901,0.00110362,0.00110362,0.00110362
25,180.032,0.79265,0.67233,0.85996,0.96633,0.99187,0.99341,0.76544,0.91483,0.86149,0.86894,0.00108947,0.00108947,0.00108947
26,187.102,0.82973,0.67198,0.85645,0.96961,0.99135,0.99308,0.75325,0.91773,0.87972,0.86934,0.00107532,0.00107532,0.00107532
27,194.265,0.8212,0.65685,0.8628,0.98542,0.98187,0.99266,0.75897,0.82098,0.87573,0.85149,0.00106118,0.00106118,0.00106118
28,201.447,0.84426,0.65119,0.85425,0.9729,0.99187,0.99441,0.78638,0.82657,0.89321,0.85439,0.00104703,0.00104703,0.00104703
29,208.475,0.76602,0.63899,0.84839,0.97642,0.99028,0.994,0.77579,0.83384,0.83865,0.85476,0.00103288,0.00103288,0.00103288
30,215.467,0.77394,0.61625,0.84886,0.97344,0.9892,0.99414,0.78775,0.80364,0.74764,0.8476,0.00101873,0.00101873,0.00101873
31,222.701,0.78507,0.61767,0.86284,0.97337,0.98933,0.99412,0.7987,0.77894,0.685,0.84197,0.00100459,0.00100459,0.00100459
32,229.598,0.77229,0.62809,0.85232,0.97043,0.99187,0.99412,0.80134,0.75083,0.64152,0.84601,0.00099044,0.00099044,0.00099044
33,236.698,0.74909,0.59625,0.85842,0.97305,0.98374,0.99453,0.7805,0.86045,0.66897,0.86576,0.000976293,0.000976293,0.000976293
34,243.723,0.78133,0.58187,0.84919,0.98209,0.98901,0.99455,0.7784,0.85373,0.68907,0.86251,0.000962146,0.000962146,0.000962146
